Stamp, PlayerId, Health, Location.X, Location.Y, Location.Z, Rotation.Pitch, Rotation.Yaw, Rotation.Roll, Velocity.X, Velocity.Y, Velocity.Z
2440, 1, 9, -285, -1881, 2194, -13, 20, 0, 737, 264, -208
2460, 0, 9, 1950, -1151, 1587, 15, -162, -0, -77, -25, 20
2460, 1, 9, 128, -1740, 2082, -15, 18, 0, 1017, 325, -273
2480, 0, 8, 1950, -1151, 1587, 15, -162, -0, -4, -1, 0
2480, 1, 9, 710, -1547, 1921, -15, 19, -0, 1377, 464, -381
2500, 0, 7, 1963, -1149, 1580, 14, -163, 0, 601, 112, -258
2500, 1, 4, 1412, -1314, 1730, -16, 15, -0, 1333, 442, -361
2520, 0, 7, 2254, -1104, 1456, 24, -173, -0, 471, -28, -197
2520, 1, 2, 2047, -1103, 1653, -19, 4, -0, 1240, 412, 136
2540, 0, 7, 2400, -1200, 1360, 46, 131, -0, 145, -296, -214
2540, 1, 2, 2639, -906, 1717, -48, -121, 0, 1096, 365, 120
2560, 0, 7, 2366, -1173, 1382, 31, 130, -0, -343, 434, 349
2560, 1, 2, 3137, -740, 1772, -31, -143, 0, 912, 303, 100
2580, 0, 7, 2188, -973, 1552, 29, 132, 0, -401, 285, 298
2580, 1, 2, 3409, -657, 1784, -13, -163, 0, -39, -15, -24
2600, 0, 7, 1970, -899, 1663, 14, 134, -0, -450, 70, 166
2600, 1, 2, 3257, -696, 1748, -8, -173, -0, -444, -92, -87
2620, 0, 7, 1780, -824, 1714, -9, -24, 0, -211, 320, 62
2620, 1, 2, 3031, -726, 1716, -3, 180, 0, -459, -30, -43
2640, 0, 7, 1719, -611, 1737, -9, -4, 0, -170, 425, 44
2640, 1, 2, 2801, -730, 1707, 5, -179, 0, -452, 56, 6
2660, 0, 7, 1646, -401, 1755, -12, -17, 0, 30, 392, 6
2660, 1, 2, 2587, -650, 1717, 5, 176, 0, -440, 136, 32
2680, 0, 7, 1704, -203, 1705, -32, 66, 0, 98, 414, -178
2680, 1, 2, 2361, -601, 1734, 3, 163, -0, -480, 103, 32
2700, 0, 7, 1720, 10, 1625, -26, 2, 0, -24, 447, -109
2700, 1, 2, 2086, -532, 1744, -5, 153, -0, -577, 55, -0
2720, 0, 7, 1629, 49, 1633, -1, -90, -0, -298, -138, 5
2720, 1, 2, 1801, -528, 1731, -4, 98, -0, -552, -3, -58
2740, 0, 7, 1551, -128, 1642, 6, -47, 0, 73, -432, 42
2740, 1, 2, 1707, -266, 1694, -25, 153, 0, -509, 669, -254
2760, 0, 2, 1652, -288, 1640, -12, 92, 0, 355, 55, -65
2760, 1, 2, 1592, -50, 1632, -1, -90, -0, -210, 130, 38
2780, 1, 2, 1555, -107, 1643, -9, -23, -0, 150, -263, 1
2800, 1, 2, 1654, -107, 1630, -1, 44, 0, 374, 158, 4
2820, 1, 2, 1767, 69, 1634, 8, 35, 0, 30, 472, 20
2840, 1, 2, 1869, 231, 1673, 14, -18, 0, 774, 76, 233
2860, 1, 2, 2171, 226, 1756, 4, -17, 0, 503, 33, 101
2880, 1, 2, 2408, 225, 1789, -4, -74, -0, 429, -14, 34
2900, 1, 2, 2586, 108, 1789, -4, -110, -0, 224, -377, -21
2920, 1, 3, 2613, -98, 1832, 47, -150, -0, -8, -406, 220
2940, 1, 3, 2596, -304, 1934, 25, -169, 0, -91, -416, 176
2960, 1, 4, 2533, -461, 2047, 13, -152, -0, 0, 113, 425
2980, 0, 10, -3660, -961, 502, 0, 0, 0, 94, -0, 0
2980, 1, 4, 2192, -561, 2084, -22, 151, 0, -559, 74, -90
3000, 0, 10, -3489, -954, 520, 59, 16, 0, 420, 39, 161
3000, 1, 5, 1921, -509, 2034, -11, 172, 0, -547, 94, -71
3020, 0, 10, -3330, -885, 824, 53, 26, 0, 236, 245, 531
3020, 1, 5, 1570, -476, 1983, -10, 178, -0, -817, 49, -187
3040, 0, 10, -3261, -707, 1047, 43, 44, -0, 55, 427, 383
3040, 1, 6, 1244, -453, 1914, -10, -178, -0, -572, 139, -114
3060, 0, 10, -3252, -476, 1209, 34, 46, 0, -4, 482, 277
3060, 1, 6, 1054, -283, 1878, -8, -176, 0, -224, 437, -40
3080, 0, 10, -3231, -149, 1397, 50, 45, 0, -2, 505, 302
3080, 1, 7, 987, -61, 1867, -12, 174, -0, -127, 441, -23
3100, 0, 10, -3198, 55, 1497, 25, 11, -0, 143, 407, 163
3100, 1, 7, 880, 137, 1839, -12, 165, 0, -328, 306, -88
3120, 0, 10, -3087, 237, 1580, 31, -11, -0, 284, 321, 171
3120, 1, 8, 684, 247, 1793, -15, 165, -0, -419, 167, -99
3140, 0, 10, -2940, 397, 1651, -18, 34, -0, 239, 385, 57
3140, 1, 8, 483, 341, 1737, -16, 164, 0, -379, 235, -118
3160, 0, 10, -2785, 352, 1639, -3, -19, 0, 441, -354, -66
3160, 1, 9, 281, 432, 1675, -16, 164, 0, -417, 152, -128
3180, 0, 10, -2512, 328, 1613, 7, -7, -0, 557, -8, -73
3180, 1, 9, 68, 474, 1595, -36, -151, 0, -440, -37, -232
3200, 0, 10, -2147, 354, 1622, 2, 10, 0, 877, 94, 91
3200, 1, 10, -142, 441, 1454, -29, -115, 0, -395, 1, -238
3220, 0, 10, -1717, 408, 1667, -13, 1, 0, 781, 213, 81
3220, 1, 10, -450, 381, 1339, -16, -163, 0, -822, -255, -248
3240, 0, 10, -1536, 578, 1721, -39, -26, -0, 126, 412, 154
3240, 1, 10, -861, 256, 1216, -16, -165, -0, -815, -211, -240
3260, 0, 10, -1502, 785, 1815, -43, -58, 0, 48, 395, 225
3260, 1, 6, -1215, 229, 1158, 21, 175, -0, -639, -107, -2
3280, 0, 10, -1517, 966, 1956, -45, -82, 0, -47, 339, 310
3280, 1, 6, -1475, 129, 1225, 19, 146, -0, -0, -190, 226
3300, 0, 10, -1521, 1134, 2111, -38, -86, 0, 99, 338, 292
3300, 1, 6, -1390, 317, 1355, 30, 98, 0, 229, 323, 202
3320, 0, 10, -1388, 1275, 2219, -41, -82, -0, 326, 264, 194
3320, 1, 6, -1335, 496, 1464, 35, 104, -0, 9, 370, 242
3340, 0, 10, -1301, 1437, 2352, -44, -91, -0, 91, 338, 301
3340, 1, 2, -1326, 679, 1596, 39, 79, -0, 39, 364, 282
3360, 0, 10, -1275, 1604, 2509, -43, -94, 0, 35, 332, 320
3380, 0, 10, -1261, 1768, 2669, -45, -94, -0, 22, 311, 306
3400, 0, 10, -1245, 1735, 2653, -15, -66, 0, 136, -244, -152
3420, 0, 10, -1244, 1536, 2590, -4, -72, -0, -109, -440, -83
3440, 0, 10, -1323, 1321, 2562, -4, -72, -0, -185, -422, -39
3460, 0, 10, -1390, 1126, 2545, -4, -72, -0, -114, -339, -30
3480, 0, 10, -1439, 981, 2532, -4, -72, -0, -84, -251, -22
3500, 0, 10, -1490, 870, 2523, -4, -72, -0, -169, -212, -15
3520, 0, 10, -1563, 778, 2516, -4, -72, -0, -128, -159, -12
3540, 0, 10, -1613, 695, 2510, -4, -72, -0, -55, -277, -21
3560, 0, 10, -1545, 401, 2488, 0, -89, -0, 211, -679, -49
3560, 1, 10, 3725, -1400, 507, 0, 180, 0, 0, -0, 0
3580, 0, 10, -1508, 91, 2462, -7, -145, -0, -79, -574, -62
3580, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3600, 0, 10, -1622, -157, 2407, -16, -130, -0, -309, -453, -170
3600, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
3620, 0, 10, -1673, -423, 2363, 1, -91, -0, 2, -558, -46
3620, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
