X,Y,Z
-3995.00,-1356.00,727.00
-571.00,-2147.00,672.00
1043.00,-1604.00,430.00
-240.00,-1806.00,475.00
-582.00,-2046.00,430.00
1217.00,-3236.00,1472.00
3877.00,-1289.00,502.00
1042.00,-674.00,480.00
1195.00,-21.00,812.00
-152.00,836.00,1993.00
1509.00,-3066.00,-512.00
-437.00,-1923.00,522.00
-434.00,49.00,430.00
-885.00,787.00,692.00
-3378.00,-1411.00,670.00
79.00,-112.00,479.00
1073.00,-1410.00,566.00
-402.00,-496.00,1006.00
329.00,632.00,454.00
235.00,324.00,427.00
1578.00,-1916.00,2223.00
428.00,-220.00,1804.00
634.00,277.00,2167.00
2430.00,986.00,1431.00
-3665.00,-789.00,502.00
-2485.00,-5824.00,427.00
2783.00,-792.00,1184.00
-3665.00,-605.00,502.00
-1460.00,-1569.00,1457.00
-303.00,-2196.00,1359.00
-501.00,-2497.00,734.00
-1294.00,-2405.00,835.00
-589.00,-2229.00,188.00
-1317.00,205.00,1864.00
496.00,-461.00,1491.00
156.00,-1016.00,541.00
800.00,1231.00,389.00
865.00,-1191.00,2080.00
204.00,-690.00,1243.00
377.00,16.00,1719.00
574.00,598.00,1249.00
-22.00,-41.00,623.00
1911.00,583.00,1994.00
-1222.00,-633.00,1579.00
86.00,-1237.00,826.00
282.00,-2016.00,1163.00
-947.00,-1118.00,532.00
-1169.00,-1311.00,467.00
753.00,46.00,820.00
-9.00,-338.00,1296.00
108.00,-26.00,746.00
90.00,-395.00,1427.00
152.00,-792.00,1691.00
-119.00,-1540.00,1127.00
-604.00,344.00,813.00
2918.00,-4963.00,1508.00
-289.00,-3411.00,1050.00
-1401.00,855.00,561.00
1803.00,2547.00,1633.00
-187.00,1362.00,611.00
-4159.00,1114.00,1057.00
-483.00,-370.00,1288.00
-578.00,6.00,1245.00
502.00,-1871.00,452.00
4.00,763.00,2399.00
-3942.00,49.00,136.00
3551.00,-2397.00,17.00
6200.00,895.00,-448.00
6471.00,-94.00,-475.00
6065.00,583.00,-329.00
5766.00,-902.00,-374.00
5236.00,-1976.00,-388.00
5158.00,-1828.00,-434.00
4753.00,-1993.00,-198.00
3841.00,-1826.00,454.00
962.00,-2165.00,-37.00
-56.00,-1731.00,202.00
1425.00,-2881.00,-153.00
169.00,479.00,349.00
796.00,378.00,252.00
-532.00,618.00,152.00
-1837.00,433.00,301.00
44.00,609.00,128.00
-658.00,3.00,367.00
-7271.00,140.00,250.00
6323.00,2271.00,-369.00
6323.00,-172.00,-369.00
4709.00,1975.00,263.00
6323.00,1378.00,-369.00
1074.00,-2669.00,-372.00
-6500.00,801.00,237.00
-7281.00,612.00,262.00
-445.00,-743.00,344.00
2403.00,-1729.00,-296.00
6323.00,2271.00,-369.00
1841.00,-1243.00,-57.00
-713.00,-2568.00,360.00
-271.00,-2835.00,212.00
-750.00,-1029.00,153.00
-3198.00,-1004.00,-301.00
-3347.00,-749.00,-111.00
3033.00,1969.00,-70.00
-3641.00,-2568.00,-143.00
-2267.00,-2028.00,-437.00
-1303.00,430.00,344.00
-2300.00,-1.00,327.00
1021.00,283.00,225.00
-266.00,13.00,527.00
58.00,-282.00,297.00
-476.00,385.00,633.00
186.00,2.00,406.00
-763.00,-1018.00,249.00
3498.00,731.00,43.00
-1026.00,775.00,739.00
925.00,2775.00,-75.00
