map,x,y,z
Observatory,4709,1975,263
Observatory,6323,1378,-369
Observatory,1074,-2669,-372
Observatory,-6500,801,237
Observatory,-7281,612,262
Observatory,-445,-743,344
Observatory,2403,-1729,-296
Observatory,6323,2271,-369
Observatory,1841,-1243,-57
Observatory,-713,-2568,360
Observatory,-271,-2835,212
Observatory,-750,-1029,153
Observatory,-3198,-1004,-301
Observatory,-3347,-749,-111
Observatory,3033,1969,-70
Observatory,-3641,-2568,-143
Observatory,-2267,-2028,-437
Observatory,-1303,430,344
Observatory,-2300,-1,327
Observatory,1021,283,225
Observatory,-266,13,527
Observatory,58,-282,297
Observatory,-476,385,633
Observatory,186,2,406
Observatory,-763,-1018,249
Observatory,3498,731,43
Observatory,-1026,775,739
Observatory,925,2775,-75
Observatory,2179,2408,-22
Observatory,3788,1310,5
Observatory,5974,-313,-426
Observatory,5625,675,-475
Observatory,-4566,-1662,-387
Observatory,-3754,-2601,-299
Observatory,-893,-531,229
Observatory,-326,-168,342
Observatory,-852,-752,187
Observatory,-896,-321,129
Observatory,-845,-1838,-71
Observatory,1018,78,701
Observatory,124,160,693
Observatory,378,166,225
Observatory,-169,705,720
Observatory,-4070,363,182
Observatory,-1747,18,225
Observatory,3091,1567,-74
Observatory,2099,3498,-71
Observatory,-850,4182,125
Observatory,-480,1988,560
Observatory,-1102,1199,690
Observatory,-852,1247,698
Observatory,-705,791,623
Observatory,-1844,1948,918
Observatory,-1910,2407,829
Observatory,-3744,3526,350
Observatory,413,2844,912
Observatory,61,3161,793
Observatory,335,3112,515
Observatory,1305,2407,68
Observatory,2211,3675,-75
Observatory,1498,2209,57
Observatory,871,2496,135
Observatory,1512,2142,284
Observatory,1041,2701,9
Observatory,-514,3289,283
Observatory,1177,2317,66
Observatory,1828,958,225
Observatory,2016,1347,540
Observatory,1123,1004,761
Observatory,2036,1034,544
Observatory,-1171,3387,346
Observatory,-521,426,639
Observatory,-123,159,772
Observatory,-1867,-1989,160
Observatory,-570,-1960,469
Observatory,927,246,310
Observatory,-1233,-1414,293
Observatory,-646,-370,220
Observatory,415,-3,277
Observatory,659,189,270
Observatory,-4325,298,127
Observatory,-4608,581,159
Observatory,-594,-420,125
Observatory,737,684,150
Observatory,-904,-1290,220
Observatory,-1423,-75,323
